"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",0.809562564792612,0,0.0106604652805254,0.000300941881723702,0,0.00608809488359839,0,0,0,0,0,0.00364742235746235,0,0,0.00755057786591351,0,0,0,0.0167833255045116,0,0,0,0,0,0.00802287214435637,0,0,0,0.0188439101167023,0.00805979546159506,0.0102773716580123,0.00476580095477402,0,0,0,0,0.00101238097064197,0,0,0,0.00246279670856893,0.00774426932446659,0,0,0,0,0,0,0,0,0.0136256372416392,0,0.000988702764734626,0,0,0.0181609324365854,0,0,0,0,0,0,0,0,0,0,0,0.00659847130998969,0,0,0,0,0,0.00693904225248843,0,0,0,0,0,0,0,0,0,0.0142051610676572,0.00281002146191895,0,0,0,0.0185510401474312,0,0,0,0,0,0,0.0062746688676998,0,0.00321302630007267,0,0
"2",0,1.53355176259401,0.00906152253970504,0,0.0138362397812307,0,0,0,0,0,0,0.00368954361882061,0,0.0081221938598901,0,0,0,0,0,0,0,0,0,0.00708967718295753,0,0.00660131736192852,0,0,0.00544208373874426,0,0,0,0.00717318391427398,0,0,0.0115538075892255,0,0,0,0,0,0.0178394405124709,0,0,0.00639978848397732,0.0121994252642617,0,0,0,0,0,0.0170509360730648,0,0,0,0.0166179542522877,0,0,0,0,0.0131234072614461,0,0.00159739110153168,0,0,0,0,0,0.0080260241124779,0.00798330108169466,0,0,0,0,0,0.0186197273200378,0,0,0.0136542631499469,0,0,0,0,0,0,0,0,0,0.00758107330650091,0.00241490005515516,0,0.0106098263943568,0,0,0,0.0125452367728576,0,0,0,0.0149860130110756
"3",0.0106604652805254,0.00906152253970504,1.58492568362401,0,0.0144319171318784,0,0,0,0,0,0.00904665374662727,0,0,0.0159182802634314,0,0,0,0,0,0.00740852894727141,0,0,0,0.00896860665176064,0,0.00649335080292076,0,0,0,0,0,0,0,0.00296848572790623,0,0,0,0,0,0,0,0,0,0,0,0,0.00357414361089468,0.00146060751751065,0,0.0162181152030826,0,0.0179172281548381,0,0.0154037062823772,0.0147164829587564,0,0.00226338967680931,0,0.00674698377028108,0,0.0168587048631161,0.00257924163714051,0,0,0.002115887128748,0,0.016344981729053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113670522533357,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.000300941881723702,0,0,0.987638419697676,0,0,0,0.0102124611986801,0,0,0,0.0183059787750244,0,0,0.016192590133287,0,0.00170078633818775,0,0.017675406280905,0,0,0,0.00746880972757936,0.01205063957721,0,0,0.00514828693121672,0,0,0.0115614201501012,0.0178751417668536,0.0185708166006953,0.0106090725772083,0,0.00171774200629443,0,0.01430022072047,0.00868382992222905,0,0,0,0,0,0,0,0,0.00241805175319314,0,0,0.0115057449415326,0,0,0.00529384115710855,0,0,0,0.0170676826592535,0.0189708679635078,0,0,0,0,0.000709756840951741,0.009499566485174,0,0,0,0,0.0107399114267901,0,0,0,0,0.00707391447387636,0,0.01077500264626,0.0129236322222278,0.0124486663285643,0,0.00967185056302696,0,0.00795350887347013,0.0192323462059721,0,0,0,0.00291934637352824,0,0,0,0,0,0,0,0,0,0,0,0,0.00618085361551493
"5",0,0.0138362397812307,0.0144319171318784,0,3.31680138602292,0,0,0,0,0,0,0,0,0,0,0.00377287752460688,0,0,0,0.00493544088676572,0,0,0,0,0,0.00908112712204456,0.0087979712896049,0,0,0,0,0.0105898753507063,0,0,0,0,0,0,0,0,0,0,0,0.0154428985295817,0,0,0,0,0.0101637216378003,0,0,0,0,0,0,0,0,0,0.0199064085585996,0,0,0.0139889369299635,0,0,0,0,0,0,0.0157714162673801,0,0,0.0152860952261835,0,0.00823285502381623,0,0,0.0109729834506288,0.0101047856034711,0,0.0184888099879026,0,0,0.00692563207820058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139919906901196,0.00557652887422591
"6",0.00608809488359839,0,0,0,0,0.324981501037502,0,0,0,0,0,0,0,0,0.0149961050506681,0,0,0,0,0.0109143163263798,0,0,0,0,0.00389922169502825,0,0,0,0,0,0,0.0087749497173354,0.0111055908957496,0.0163537964178249,0,0.0101717748912051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00631989294663072,0,0,0,0,0.0192737510381266,0,0,0,0,0,0,0.0119003782887012,0,0,0,0,0,0,0,3.22390254586935e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00971761785913259,0
"7",0,0,0,0,0,0,0.174001126141794,0,0,0,0,0,0.00592305103782564,0,0,0.00384117334615439,0.0148749671177939,0,0,0.00606815073173493,0,0,0,0,0.00202657601796091,0,0,0,0.000352903534658253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187074121041223,0.0078421626240015,0,0,0,0,0,0,0.00542957639787346,0,0.00169686002656817,0.0092448396794498,0.0158999576652423,0,0,0,0,0,0,0,0,0,0,0,0,0.0192019656579942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0.0102124611986801,0,0,0,0.409829831200423,0,0,0,0,0.00230598297901452,0,0,0,0.00220236183609813,0,0,0,0,0.0188169642258436,0,0,0,0,0.0188131537940353,0,0,0.0115423573879525,0,0,0,0,0.0141877067182213,0,0,0,0,0.0150450680032372,0,0,0,0,0.00597080652136356,0,0,0,0,0,0,0,0,0.0044126592669636,0,0.0130707399221137,0,0.019495500694029,0,0,0,0,0,0,0.0111318415030837,0.0142437158897519,0,0,0,0,0,0,0,0,0,0,0.0191435910854489,0,0,0.00599256855901331,0.00981177648995072,0,0,0.0136723987851292,0,0,0,0.0170322545571253,0,0,0,0,0,0,0.010721448934637,0,0,0,0,0.0163515753345564
"9",0,0,0,0,0,0,0,0,0.247338756760791,0,0,0,0,0,0,0,0,0,0.00452420806977898,0.0140132676949725,0,0,0,0,0.00613074384164065,0,0,0,0.0127777576679364,0,0,0,0,0,0.017677978859283,0,0,0,0,0.00739312964957207,0,0,0,0.0167440619599074,0.0177425977773964,0,0,0,0,0,0,0,0,0.0168943170877174,0.0052506048232317,0,0,0,0,0.0118988508824259,0,0,0,0.0127644863072783,0,0,0,0,0.0111702909693122,0,0,0,0,0.00225728043820709,0,0,0,0.00944197265896946,0,0,0,0,0,0.00268172367010266,0.0138196870917454,0,0.0183922622073442,0.00520264875609428,0,0,0,0,0,0,0,0.0154382661217824,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,1.04228477718801,0,0,0,0.0156671992875636,0,0.00788714291993529,0,0,0,0,0,0,0,0,0,0.00366620615590364,0.00955725846812129,0,0,0,0,0.0163134876685217,0,0,0,0,0,0,0,0,0,0,0,0,0.0174616786791012,0,0.0135390343423933,0.0161012118449435,0,0,0,0,0,0.0149859481770545,0,0,0,0,0,0,0.0199841780588031,0,0.0155642004171386,0,0,0,0,0,0,0.000980800413526595,0,0,0,0,0.00245505504775792,0,0,0,0,0,0.00906143109779805,0,0,0,0,0,0,0.0129380491981283,0.00349310928955674,0,0,0.00508621043525636,0.00677986574824899,0,0,0,0.0118199147749692,0,0,0
